date,description,amount
2026-04-02,Salary - Acme Pty Ltd,4200.00
2026-04-03,Woolworths,-142.30
2026-04-05,Netflix,-22.99
2026-04-08,Uber,-18.50
2026-04-12,Origin Energy,-180.00
2026-04-15,Coles,-96.40
2026-04-20,Rent Payment,-1600.00
2026-04-25,Spotify,-12.99
2026-05-02,Salary - Acme Pty Ltd,4200.00
2026-05-04,Woolworths,-158.20
2026-05-06,Netflix,-22.99
2026-05-10,Coles,-110.75
2026-05-14,Uber Eats,-44.30
2026-05-18,Origin Energy,-175.50
2026-05-20,Rent Payment,-1600.00
2026-05-26,Spotify,-12.99
2026-05-28,Bunnings Warehouse,-87.60
2026-06-01,Salary - Acme Pty Ltd,4300.00
2026-06-03,Woolworths,-167.90
2026-06-05,Netflix,-22.99
2026-06-09,Coles,-123.40
2026-06-12,Uber,-26.80
2026-06-15,Origin Energy,-168.20
2026-06-18,Rent Payment,-1600.00
2026-06-22,Spotify,-12.99
